H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0874636173248291,0.2397463321685791,0.15228271484375,0.0853345394134521,0.1079068183898925,0.0225722789764404,0.06587815284729,0.1116325855255127,0.0457544326782226,0.0802068710327148,0.5874898433685303,0.5072829723358154,0.0783278942108154,0.2490589618682861,0.1707310676574707,0.2197980880737304,0.2549073696136474,0.0351092815399169,0.1116473674774169,0.1116473674774169,0.0,0.0827963352203369,0.092559814453125,0.009763479232788,0.1081445217132568,0.2356078624725341,0.1274633407592773,0.1160216331481933,0.370279312133789,0.2542576789855957,0.1146125793457031
0.1083133220672607,0.20281982421875,0.0945065021514892,0.1079685688018798,0.1386568546295166,0.0306882858276367,0.0767784118652343,0.1005516052246093,0.023773193359375,0.1162614822387695,0.2422051429748535,0.1259436607360839,0.0969769954681396,0.255624771118164,0.1586477756500244,0.1816232204437255,0.2485468387603759,0.0669236183166503,0.0782344341278076,0.145158052444458,0.1151494979858398,0.1352221965789795,0.1372356414794922,0.0020134449005126,0.1081743240356445,0.123852252960205,0.0156779289245605,0.1026971340179443,0.1196849346160888,0.0169878005981445,0.1197235584259033
0.0901935100555419,0.2633240222930908,0.1731305122375488,0.0997672080993652,0.3014421463012695,0.2016749382019043,0.1025834083557128,0.1695494651794433,0.0669660568237304,0.0897514820098877,0.5952489376068115,0.5054974555969238,0.0901663303375244,0.3169348239898681,0.2267684936523437,0.2325942516326904,0.2962145805358886,0.0636203289031982,0.1127746105194091,0.1763949394226074,0.1261835098266601,0.1366922855377197,0.1399953365325927,0.003303050994873,0.1401872634887695,0.1777784824371338,0.0375912189483642,0.1224095821380615,0.1396446228027343,0.0172350406646728,0.0706994533538818
0.1019594669342041,0.1913208961486816,0.0893614292144775,0.1014671325683593,0.1209502220153808,0.0194830894470214,0.0649561882019043,0.0745799541473388,0.0096237659454345,0.0899262428283691,0.6787919998168945,0.5888657569885254,0.0911769866943359,0.1955776214599609,0.104400634765625,0.2462263107299804,0.2980749607086181,0.0518486499786376,0.117382526397705,0.1437165737152099,0.0263340473175048,0.1142141819000244,0.1405482292175293,0.1244475841522216,0.1318142414093017,0.4667882919311523,0.3349740505218506,0.0768964290618896,0.1697797775268554,0.0928833484649658,0.1104288101196289
0.0927906036376953,0.2036032676696777,0.1108126640319824,0.0926823616027832,0.102656602859497,0.0099742412567138,0.0761213302612304,0.0852913856506347,0.0091700553894042,0.1145515441894531,0.597865104675293,0.4833135604858398,0.110173225402832,0.2541403770446777,0.1439671516418457,0.1972873210906982,0.2343418598175048,0.0370545387268066,0.0976970195770263,0.134751558303833,0.1226813793182373,0.1221938133239746,0.0972094535827636,0.1431958675384521,0.1073293685913086,0.152733564376831,0.0454041957855224,0.1114208698272705,0.172802448272705,0.0613815784454345,0.0644314289093017
0.097771406173706,0.2264246940612793,0.1286532878875732,0.0885512828826904,0.12253999710083,0.0339887142181396,0.0948486328125,0.1005129814147949,0.0056643486022949,0.0973141193389892,0.6595818996429443,0.5622677803039551,0.1035523414611816,0.2819671630859375,0.1784148216247558,0.2128362655639648,0.331528902053833,0.1186926364898681,0.1302783489227295,0.2243452072143554,0.0940668582916259,0.1279282569885254,0.216141939163208,0.0882136821746826,0.1112182140350341,0.3137476444244385,0.2025294303894043,0.0976207256317138,0.2646868228912353,0.1670660972595214,0.0760488510131836
0.0878703594207763,0.217341661453247,0.1294713020324707,0.0903611183166503,0.1526272296905517,0.0622661113739013,0.0760571956634521,0.0851573944091796,0.0091001987457275,0.0760841369628906,0.5976400375366211,0.5215559005737305,0.1116445064544677,0.2744021415710449,0.1627576351165771,0.2647254467010498,0.3268835544586181,0.0621581077575683,0.105562686920166,0.1677207946777343,0.1225645542144775,0.1158263683319091,0.0988245010375976,0.127784252166748,0.1115059852600097,0.1623692512512207,0.0508632659912109,0.0909488201141357,0.1413877010345459,0.0504388809204101,0.0782270431518554
0.1118228435516357,0.1966638565063476,0.0848410129547119,0.0887651443481445,0.1045165061950683,0.0157513618469238,0.0907478332519531,0.1196856498718261,0.028937816619873,0.0849804878234863,0.2475347518920898,0.1625542640686035,0.1004347801208496,0.2392394542694091,0.1388046741485595,0.27028489112854,0.287287950515747,0.017003059387207,0.1074519157409668,0.1301872730255127,0.0227353572845459,0.1120872497558593,0.1281397342681884,0.0160524845123291,0.083648681640625,0.127589464187622,0.043940782546997,0.1223511695861816,0.1354961395263672,0.0131449699401855,0.1123726367950439
0.1022670269012451,0.5748062133789062,0.4725391864776611,0.0704584121704101,0.5429975986480713,0.0864572525024414,0.0993859767913818,0.1101388931274414,0.0107529163360595,0.1104938983917236,0.2955954074859619,0.1851015090942382,0.1000311374664306,0.2843832969665527,0.184352159500122,0.2165639400482177,0.2715089321136474,0.0549449920654296,0.1283342838287353,0.1585555076599121,0.0302212238311767,0.0701038837432861,0.1270804405212402,0.0569765567779541,0.1295156478881836,0.3077442646026611,0.1782286167144775,0.1262528896331787,0.2488710880279541,0.1226181983947753,0.1135585308074951
0.068540334701538,0.2882156372070312,0.2196753025054931,0.1069004535675048,0.1366775035858154,0.0297770500183105,0.0888848304748535,0.0888848304748535,0.0,0.11553955078125,0.6751761436462402,0.5596365928649902,0.0840320587158203,0.2075812816619873,0.1235492229461669,0.2450692653656005,0.2606968879699707,0.0156276226043701,0.1095707416534423,0.1251983642578125,0.1247167587280273,0.0886597633361816,0.1042451858520507,0.0155854225158691,0.1270580291748047,0.1426448822021484,0.0155868530273437,0.1269092559814453,0.1450903415679931,0.0181810855865478,0.1097714900970459
