subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s060,1,10,0.09377074241638184,0.2235414981842041,0.12977075576782227,0.0919797420501709,0.10369992256164551,0.01172018051147461,0.07194685935974121,0.10475540161132812,0.032808542251586914,0.09377050399780273,0.756427526473999,0.6626570224761963,0.10280561447143555,0.2532052993774414,0.15039968490600586,0.18553447723388672,0.2246384620666504,0.03910398483276367,0.10407185554504395,0.14317584037780762,0.11990022659301758,0.10333919525146484,0.12052106857299805,0.017181873321533203,0.10927844047546387,0.20132184028625488,0.09204339981079102,0.10899209976196289,0.1818408966064453,0.07284879684448242,0.09076380729675293
s060,1,11,0.09000778198242188,0.24374938011169434,0.15374159812927246,0.10320091247558594,0.14070630073547363,0.037505388259887695,0.10485434532165527,0.10685205459594727,0.001997709274291992,0.08608388900756836,0.4289970397949219,0.3429131507873535,0.09173727035522461,0.3100128173828125,0.2182755470275879,0.19455289840698242,0.24295949935913086,0.04840660095214844,0.07747340202331543,0.12588000297546387,0.09345102310180664,0.10233473777770996,0.1694483757019043,0.06711363792419434,0.04331493377685547,0.3666377067565918,0.32332277297973633,0.0891261100769043,0.21915006637573242,0.13002395629882812,0.0856776237487793
s060,1,12,0.10692405700683594,0.21826386451721191,0.11133980751037598,0.0917201042175293,0.13064002990722656,0.038919925689697266,0.0652766227722168,0.0959634780883789,0.03068685531616211,0.08924412727355957,0.669924259185791,0.5806801319122314,0.09413576126098633,0.2704300880432129,0.17629432678222656,0.14948415756225586,0.1829664707183838,0.03348231315612793,0.09132862091064453,0.12481093406677246,0.13100385665893555,0.13574433326721191,0.14629244804382324,0.010548114776611328,0.08518576622009277,0.11797285079956055,0.03278708457946777,0.11654067039489746,0.14685273170471191,0.030312061309814453,0.1270751953125
s060,1,13,0.08799934387207031,0.20469021797180176,0.11669087409973145,0.12126851081848145,0.12924408912658691,0.007975578308105469,0.10324621200561523,0.11977362632751465,0.016527414321899414,0.10814547538757324,0.5386710166931152,0.430525541305542,0.09987759590148926,0.277620792388916,0.17774319648742676,0.20894789695739746,0.35182714462280273,0.14287924766540527,0.07361149787902832,0.2164907455444336,0.10157227516174316,0.11629438400268555,0.18605852127075195,0.0697641372680664,0.09129071235656738,0.11862897872924805,0.027338266372680664,0.12568330764770508,0.2163257598876953,0.09064245223999023,0.10128235816955566
s060,1,14,0.09306478500366211,0.21382927894592285,0.12076449394226074,0.10462546348571777,0.11923360824584961,0.014608144760131836,0.08230185508728027,0.09176945686340332,0.009467601776123047,0.11330318450927734,0.7763748168945312,0.6630716323852539,0.1016395092010498,0.2631981372833252,0.1615586280822754,0.17215394973754883,0.40909886360168457,0.23694491386413574,0.09520769119262695,0.3321526050567627,0.10918521881103516,0.09885525703430176,0.19326114654541016,0.0944058895111084,0.09158992767333984,0.3020591735839844,0.21046924591064453,0.10625958442687988,0.15360093116760254,0.047341346740722656,0.09067702293395996
s060,1,15,0.08882665634155273,0.23546266555786133,0.1466360092163086,0.08995199203491211,0.6848607063293457,0.5949087142944336,0.10534501075744629,0.13553905487060547,0.03019404411315918,0.1252765655517578,0.41847658157348633,0.2932000160217285,0.10094046592712402,0.22887969017028809,0.12793922424316406,0.17623090744018555,0.24151945114135742,0.06528854370117188,0.0835123062133789,0.14880084991455078,0.11135053634643555,0.10920190811157227,0.13917946815490723,0.02997756004333496,0.09825730323791504,0.15503144264221191,0.056774139404296875,0.09859037399291992,0.1507434844970703,0.05215311050415039,0.10145926475524902
s060,1,16,0.1065974235534668,0.6312997341156006,0.5247023105621338,0.1013329029083252,0.626035213470459,0.11886954307556152,0.08552980422973633,0.08753275871276855,0.0020029544830322266,0.08803129196166992,1.1408896446228027,1.0528583526611328,0.10601687431335449,0.3132972717285156,0.20728039741516113,0.1967320442199707,0.6883578300476074,0.4916257858276367,0.06311798095703125,0.554743766784668,0.1020653247833252,0.10382938385009766,0.1360182762145996,0.03218889236450195,0.09024429321289062,0.13378334045410156,0.04353904724121094,0.09698772430419922,0.2542860507965088,0.15729832649230957,0.0749826431274414
s060,1,17,0.0874636173248291,0.2397463321685791,0.15228271484375,0.08533453941345215,0.10790681838989258,0.02257227897644043,0.06587815284729004,0.1116325855255127,0.045754432678222656,0.08020687103271484,0.5874898433685303,0.5072829723358154,0.07832789421081543,0.24905896186828613,0.1707310676574707,0.21979808807373047,0.25490736961364746,0.03510928153991699,0.11164736747741699,0.11164736747741699,0.0,0.08279633522033691,0.092559814453125,0.009763479232788086,0.10814452171325684,0.23560786247253418,0.12746334075927734,0.11602163314819336,0.37027931213378906,0.2542576789855957,0.11461257934570312
s060,1,18,0.10831332206726074,0.20281982421875,0.09450650215148926,0.10796856880187988,0.1386568546295166,0.03068828582763672,0.07677841186523438,0.10055160522460938,0.023773193359375,0.11626148223876953,0.24220514297485352,0.12594366073608398,0.09697699546813965,0.25562477111816406,0.15864777565002441,0.18162322044372559,0.24854683876037598,0.06692361831665039,0.07823443412780762,0.145158052444458,0.11514949798583984,0.1352221965789795,0.1372356414794922,0.0020134449005126953,0.10817432403564453,0.12385225296020508,0.015677928924560547,0.10269713401794434,0.11968493461608887,0.01698780059814453,0.11972355842590332
s060,1,19,0.09019351005554199,0.2633240222930908,0.17313051223754883,0.09976720809936523,0.30144214630126953,0.2016749382019043,0.10258340835571289,0.16954946517944336,0.06696605682373047,0.0897514820098877,0.5952489376068115,0.5054974555969238,0.09016633033752441,0.31693482398986816,0.22676849365234375,0.23259425163269043,0.29621458053588867,0.06362032890319824,0.11277461051940918,0.17639493942260742,0.12618350982666016,0.13669228553771973,0.13999533653259277,0.003303050994873047,0.14018726348876953,0.1777784824371338,0.03759121894836426,0.12240958213806152,0.13964462280273438,0.01723504066467285,0.07069945335388184
s060,1,20,0.10247969627380371,0.19543147087097168,0.09295177459716797,0.12297558784484863,0.13297343254089355,0.009997844696044922,0.09001636505126953,0.09778761863708496,0.00777125358581543,0.12178611755371094,1.5652573108673096,1.4434711933135986,0.08757829666137695,0.3745579719543457,0.28697967529296875,0.30066442489624023,0.8689572811126709,0.5682928562164307,0.09108901023864746,0.6593818664550781,0.1056065559387207,0.10758686065673828,0.14785337448120117,0.04026651382446289,0.10944318771362305,0.5550620555877686,0.4456188678741455,0.09657931327819824,0.12500596046447754,0.028426647186279297,0.09684133529663086
s060,1,21,0.1019594669342041,0.19132089614868164,0.08936142921447754,0.10146713256835938,0.12095022201538086,0.019483089447021484,0.0649561882019043,0.07457995414733887,0.00962376594543457,0.08992624282836914,0.6787919998168945,0.5888657569885254,0.09117698669433594,0.19557762145996094,0.104400634765625,0.24622631072998047,0.29807496070861816,0.051848649978637695,0.11738252639770508,0.14371657371520996,0.026334047317504883,0.11421418190002441,0.1405482292175293,0.12444758415222168,0.13181424140930176,0.46678829193115234,0.3349740505218506,0.07689642906188965,0.16977977752685547,0.09288334846496582,0.1104288101196289
s060,1,22,0.09279060363769531,0.20360326766967773,0.11081266403198242,0.0926823616027832,0.10265660285949707,0.009974241256713867,0.07612133026123047,0.08529138565063477,0.009170055389404297,0.11455154418945312,0.597865104675293,0.48331356048583984,0.11017322540283203,0.25414037704467773,0.1439671516418457,0.19728732109069824,0.23434185981750488,0.03705453872680664,0.09769701957702637,0.134751558303833,0.1226813793182373,0.12219381332397461,0.09720945358276367,0.14319586753845215,0.1073293685913086,0.15273356437683105,0.04540419578552246,0.11142086982727051,0.17280244827270508,0.06138157844543457,0.06443142890930176
s060,1,23,0.09777140617370605,0.2264246940612793,0.12865328788757324,0.08855128288269043,0.12253999710083008,0.03398871421813965,0.0948486328125,0.10051298141479492,0.005664348602294922,0.09731411933898926,0.6595818996429443,0.5622677803039551,0.10355234146118164,0.2819671630859375,0.17841482162475586,0.21283626556396484,0.331528902053833,0.11869263648986816,0.1302783489227295,0.22434520721435547,0.09406685829162598,0.1279282569885254,0.216141939163208,0.08821368217468262,0.11121821403503418,0.3137476444244385,0.2025294303894043,0.09762072563171387,0.26468682289123535,0.16706609725952148,0.0760488510131836
s060,1,24,0.09809732437133789,0.19067931175231934,0.09258198738098145,0.10030770301818848,0.13190507888793945,0.03159737586975098,0.08801746368408203,0.09204268455505371,0.00402522087097168,0.08281469345092773,0.88458251953125,0.8017678260803223,0.10096406936645508,0.320601224899292,0.21963715553283691,0.27935075759887695,1.030580997467041,0.7512302398681641,0.11036181449890137,0.12230491638183594,0.01194310188293457,0.10242605209350586,0.11244821548461914,0.010022163391113281,0.0744328498840332,0.27107954025268555,0.19664669036865234,0.08412885665893555,0.13862252235412598,0.05449366569519043,0.10177040100097656
s060,1,25,0.09980249404907227,0.13724303245544434,0.03744053840637207,0.10326075553894043,0.17736291885375977,0.07410216331481934,0.07105326652526855,0.08011722564697266,0.009063959121704102,0.09907937049865723,0.582094669342041,0.4830152988433838,0.10567927360534668,0.29791831970214844,0.19223904609680176,0.27492213249206543,0.8781018257141113,0.6031796932220459,0.08427143096923828,0.6874511241912842,0.11908125877380371,0.10260152816772461,0.06779170036315918,0.12543797492980957,0.09521031379699707,0.190077543258667,0.09486722946166992,0.13020944595336914,0.13409757614135742,0.0038881301879882812,0.09523129463195801
s060,1,26,0.08787035942077637,0.21734166145324707,0.1294713020324707,0.09036111831665039,0.15262722969055176,0.06226611137390137,0.07605719566345215,0.08515739440917969,0.009100198745727539,0.07608413696289062,0.5976400375366211,0.5215559005737305,0.11164450645446777,0.2744021415710449,0.16275763511657715,0.2647254467010498,0.32688355445861816,0.06215810775756836,0.10556268692016602,0.16772079467773438,0.12256455421447754,0.11582636833190918,0.09882450103759766,0.12778425216674805,0.11150598526000977,0.1623692512512207,0.05086326599121094,0.09094882011413574,0.1413877010345459,0.050438880920410156,0.07822704315185547
s060,1,27,0.11182284355163574,0.19666385650634766,0.08484101295471191,0.08876514434814453,0.10451650619506836,0.015751361846923828,0.09074783325195312,0.11968564987182617,0.028937816619873047,0.08498048782348633,0.24753475189208984,0.16255426406860352,0.10043478012084961,0.23923945426940918,0.13880467414855957,0.27028489112854004,0.28728795051574707,0.01700305938720703,0.1074519157409668,0.1301872730255127,0.0227353572845459,0.11208724975585938,0.12813973426818848,0.0160524845123291,0.083648681640625,0.12758946418762207,0.04394078254699707,0.12235116958618164,0.1354961395263672,0.013144969940185547,0.11237263679504395
